volume,pdf_page,doi,title,category,summary_zh,doi_url,pdf_file
Volume 2,1399,10.1145/3779212.3790198,PACT: A Criticality-First Design for Tiered Memory,内存体系、CXL、存储与缓存,"Tiered memory systems typically place pages based on access frequency (hotness), yet frequency alone fails to capture the true performance impact.",https://doi.org/10.1145/3779212.3790198,asplos2026.volume2.3779212.pdf
Volume 2,1446,10.1145/3779212.3790201,Performance Predictability in Heterogeneous Memory,内存体系、CXL、存储与缓存,"Heterogeneous memory combining DRAM and CXL exhibits variable performance, yet existing metrics correlate weakly with actual slowdown.",https://doi.org/10.1145/3779212.3790201,asplos2026.volume2.3779212.pdf
Volume 2,1463,10.1145/3779212.3790202,PF-LLM: Large Language Model Hinted Hardware Prefetching,内存体系、CXL、存储与缓存,Hardware data prefetching is a critical technique for mitigating memory latency in modern processors.,https://doi.org/10.1145/3779212.3790202,asplos2026.volume2.3779212.pdf
Volume 2,1478,10.1145/3779212.3790203,PIPM: Partial and Incremental Page Migration for Multi-host CXL Disaggregated Shared Memory,内存体系、CXL、存储与缓存,The emerging Compute Express Link (CXL) interconnect supports multi-host cache-coherent disaggregated shared memory (CXL-DSM).,https://doi.org/10.1145/3779212.3790203,asplos2026.volume2.3779212.pdf
Volume 2,1913,10.1145/3779212.3790227,Static Analysis for Efficient Streaming Tokenization,内存体系、CXL、存储与缓存,"Tokenization, also referred to as lexing or scanning, is the computational task of partitioning an input text into a sequence of substrings called tokens.",https://doi.org/10.1145/3779212.3790227,asplos2026.volume2.3779212.pdf
Volume 2,1930,10.1145/3779212.3790228,STRA W: Stress-Aware WL-Based Read Disturbance Management for High-Density NAND Flash Memory Myoungjun Chun,内存体系、CXL、存储与缓存,"While NAND flash memory has continuously increased its storage density over decades, this progress has exacerbated the read-disturbance problem.",https://doi.org/10.1145/3779212.3790228,asplos2026.volume2.3779212.pdf
Volume 2,2048,10.1145/3779212.3790235,Toasty: Speeding up network I/O with cache-warm buffers,内存体系、CXL、存储与缓存,"Modern NICs DMA packets directly to the LLC using technologies like DDIO, reducing access latencies for networking applications.",https://doi.org/10.1145/3779212.3790235,asplos2026.volume2.3779212.pdf
Volume 2,2174,10.1145/3779212.3790243,Understanding and Optimizing Database Pushdown on Disaggregated Storage,内存体系、CXL、存储与缓存,Database pushdown is a widely adopted technique under compute-storage disaggregation.,https://doi.org/10.1145/3779212.3790243,asplos2026.volume2.3779212.pdf
Volume 2,2210,10.1145/3779212.3790245,vCXLGen: Automated Synthesis and Verification of CXL Bridges for Heterogeneous Architectures,内存体系、CXL、存储与缓存,"Compute Express Link (CXL) offers byte-addressable, cachecoherent remote memory accesses across multiple hosts.",https://doi.org/10.1145/3779212.3790245,asplos2026.volume2.3779212.pdf
Volume 2,2265,10.1145/3779212.3790248,W ax: Optimizing Data Center Applications With Stale Profile Tawhid Bhuiyan,内存体系、CXL、存储与缓存,"Data center applications’ large instruction footprints cause frequent front-end stalls by overwhelming on-chip microarchitectural structures such as instruction cache (I-cache), instruction translation look-...",https://doi.org/10.1145/3779212.3790248,asplos2026.volume2.3779212.pdf
Volume 1,132,10.1145/3760250.3762231,GFS: A Preemption-aware Scheduling Framework for GPU Clusters with Predictive Spot Instance Management,大模型训练、监控与深度学习系统,"The surge in large language models (LLMs) has fundamentally reshaped the landscape of GPU usage patterns, creating an urgent need for more efficient management strategies.",https://doi.org/10.1145/3760250.3762231,asplos2026.volume1.3760250.pdf
Volume 1,147,10.1145/3760250.3762221,Linear Layouts: Robust Code Generation of Efficient Tensor Computation Using F2,大模型训练、监控与深度学习系统,"Efficient tensor computation is a cornerstone of modern deep learning (DL) workloads, yet existing approaches struggle to achieve flexible and performant design and implementation of tensor layouts—mappings...",https://doi.org/10.1145/3760250.3762221,asplos2026.volume1.3760250.pdf
Volume 1,198,10.1145/3760250.3762230,NotebookOS: A Replicated Notebook Platform for Interactive Training with On-Demand GPUs,大模型训练、监控与深度学习系统,"Interactive notebook programming is universal in modern ML and AI workflows, with interactive deep learning training (IDLT) emerging as a dominant use case.",https://doi.org/10.1145/3760250.3762230,asplos2026.volume1.3760250.pdf
Volume 2,651,10.1145/3779212.3790154,DIP: Efficient Large Multimodal Model Training with Dynamic Interleaved Pipeline,大模型训练、监控与深度学习系统,Large multimodal models (LMMs) have demonstrated excellent capabilities in both understanding and generation tasks with various modalities.,https://doi.org/10.1145/3779212.3790154,asplos2026.volume2.3779212.pdf
Volume 2,797,10.1145/3779212.3790163,Fine-grained and Non-intrusive LLM Training Monitoring via Microsecond-level Traffic Measurement,大模型训练、监控与深度学习系统,"Large language model (LLM) training is prone to anomalies due to its long duration and large scale, which can lead to significant performance degradation or even training crashes.",https://doi.org/10.1145/3779212.3790163,asplos2026.volume2.3779212.pdf
Volume 2,816,10.1145/3779212.3790164,FlashMem: Supporting Modern DNN Workloads on Mobile with GPU Memory Hierarchy Optimizations,大模型训练、监控与深度学习系统,"The increasing size and complexity of modern deep neural networks (DNNs) pose significant challenges for on-device inference on mobile GPUs, with limited memory and computational resources.",https://doi.org/10.1145/3779212.3790164,asplos2026.volume2.3779212.pdf
Volume 2,1726,10.1145/3779212.3790216,Segment Only Where You Look: Leveraging Human Gaze Behavior for Efficient Computer Vision Applications in Augmented Reality,大模型训练、监控与深度学习系统,Augmented reality (AR) comprises groundbreaking technologies that are reshaping the landscape of human interaction.,https://doi.org/10.1145/3779212.3790216,asplos2026.volume2.3779212.pdf
Volume 2,1982,10.1145/3779212.3790230,T-Control: An Efficient Dynamic Tensor Rematerialization System for DNN Training,大模型训练、监控与深度学习系统,"With the continuous growth of model and batch sizes, DNN model training increasingly suffers from excessive memory consumption.",https://doi.org/10.1145/3779212.3790230,asplos2026.volume2.3779212.pdf
Volume 2,2141,10.1145/3779212.3790241,Triton-Sanitizer: A Fast and Device-Agnostic Memory Sanitizer for Triton with Rich Diagnostic Context,大模型训练、监控与深度学习系统,Memory access errors remain one of the most pervasive bugs in GPU programming.,https://doi.org/10.1145/3779212.3790241,asplos2026.volume2.3779212.pdf
Volume 1,234,10.1145/3760250.3762218,Radshield: Software Radiation Protection for Commodity Hardware in Space,安全、可信执行与可靠性,"Exponentially-declining launch costs have led to an explosion of inexpensive satellites launched to space, often equipped with off-the-shelf chips.",https://doi.org/10.1145/3760250.3762218,asplos2026.volume1.3760250.pdf
Volume 2,170,10.1145/3779212.3790126,APT: Securing Against DRAM Read Disturbance via Adaptive Probabilistic In-DRAM Trackers,安全、可信执行与可靠性,"With exacerbated DRAM read disturbance, transparent inDRAM defenses require space (to track the aggressor rows) and time (to perform more mitigations).",https://doi.org/10.1145/3779212.3790126,asplos2026.volume2.3779212.pdf
Volume 2,1494,10.1145/3779212.3790204,PrioriFI: More Informed Fault Injection for Edge Neural Networks,安全、可信执行与可靠性,"As neural networks (NNs) are increasingly used to provide edge intelligence, there is a growing need to make the edge devices that run them robust to faults.",https://doi.org/10.1145/3779212.3790204,asplos2026.volume2.3779212.pdf
Volume 2,1673,10.1145/3779212.3790213,RowArmor: Efficient and Comprehensive Protection Against DRAM Disturbance Errors,安全、可信执行与可靠性,"Shrinking process technologies have made DRAM increasingly vulnerable to disturbance attacks, such as RowHammer, which can compromise data integrity or induce a Denial-ofService (DoS) state.",https://doi.org/10.1145/3779212.3790213,asplos2026.volume2.3779212.pdf
Volume 2,1744,10.1145/3779212.3790217,SEVI: Silent Data Corruption of Vector Instructions in Hyper-Scale Datacenters,安全、可信执行与可靠性,Silent Data Corruption (SDC) poses a reliability threat in modern datacenters.,https://doi.org/10.1145/3779212.3790217,asplos2026.volume2.3779212.pdf
Volume 2,1999,10.1145/3779212.3790232,"TeeM3: Cor e-Independent and Cooperating Trusted Execution Environments Nils Asmussen Barkhausen Institut Dresden, Germany Sebastian Haas Barkhausen Institut",安全、可信执行与可靠性,Trusted Execution Environments (TEEs) enable secure code execution on machines that are not fully trusted by the user who runs the workload.,https://doi.org/10.1145/3779212.3790232,asplos2026.volume2.3779212.pdf
Volume 2,2158,10.1145/3779212.3790242,Trust-V: Toward Secure and Reliable Storage for Trusted Execution Environments,安全、可信执行与可靠性,Trusted execution environments (TEEs) provide strong isolation for security-critical applications (enclaves) and their runtime data from potentially malicious operating systems.,https://doi.org/10.1145/3779212.3790242,asplos2026.volume2.3779212.pdf
Volume 2,2282,10.1145/3779212.3790249,WorksetEnclave: Towards Optimizing Cold Starts in Confidential Serverless with Workset-Based Enclave Restore,安全、可信执行与可靠性,Serverless computing has become a popular cloud computing paradigm.,https://doi.org/10.1145/3779212.3790249,asplos2026.volume2.3779212.pdf
Volume 1,249,10.1145/3760250.3762233,Sequential Specifications for Precise Hardware Exceptions,硬件设计语言与微体系结构,Modern processors are difficult to implement because pipelining makes them inherently parallel.,https://doi.org/10.1145/3760250.3762233,asplos2026.volume1.3760250.pdf
Volume 2,143,10.1145/3779212.3790125,Anvil: A General-Purpose Timing-Safe Hardware Description Language,硬件设计语言与微体系结构,Expressing hardware designs using hardware description languages (HDLs) routinely involves using stateless signals whose values change according to their underlying registers.,https://doi.org/10.1145/3779212.3790125,asplos2026.volume2.3779212.pdf
Volume 2,394,10.1145/3779212.3790139,Chips Need DIP: Time-Proportional Per-Instruction Cycle Stacks at Dispatch,硬件设计语言与微体系结构,"Despite continuous accelerator improvements, high singlethread performance remains crucial due to Amdahl’s Law.",https://doi.org/10.1145/3779212.3790139,asplos2026.volume2.3779212.pdf
Volume 2,427,10.1145/3779212.3790141,Co-Exploration of RISC-V Processor Microarchitectures and FreeRTOS Extensions for Lower Context Switch Latency,硬件设计语言与微体系结构,"Embedded real-time systems must respond to external events within tightly bounded timeframes to ensure safety, correctness, and reliability.",https://doi.org/10.1145/3779212.3790141,asplos2026.volume2.3779212.pdf
Volume 2,2031,10.1145/3779212.3790234,TierX: A Simulation Framework for Multi-tier BCI System Design Evaluation and Exploration,硬件设计语言与微体系结构,"Brain-computer interfaces (BCIs) have made remarkable progress in recent years, driven by advances in neuroscience and clinical applications.",https://doi.org/10.1145/3779212.3790234,asplos2026.volume2.3779212.pdf
Volume 1,162,10.1145/3760250.3762232,Lobster: A GPU-Accelerated Framework for Neurosymbolic Programming,编译器、程序优化与形式化验证,"Neurosymbolic programs combine deep learning with symbolic reasoning to achieve better data efficiency, interpretability, and generalizability compared to standalone deep learning approaches.",https://doi.org/10.1145/3760250.3762232,asplos2026.volume1.3760250.pdf
Volume 1,218,10.1145/3760250.3762227,QTurbo: A Robust and Efficient Compiler for Analog Quantum Simulation,编译器、程序优化与形式化验证,Analog quantum simulation leverages native hardware dynamics to emulate complex quantum systems with great efficiency by bypassing the quantum circuit abstraction.,https://doi.org/10.1145/3760250.3762227,asplos2026.volume1.3760250.pdf
Volume 1,280,10.1145/3760250.3762225,The Configuration Wall: Characterization and Elimination of Accelerator Configuration Overhead,编译器、程序优化与形式化验证,Contemporary compute platforms increasingly offload compute kernels from CPU to integrated hardware accelerators to reach maximum performance per Watt.,https://doi.org/10.1145/3760250.3762225,asplos2026.volume1.3760250.pdf
Volume 2,127,10.1145/3779212.3790124,An MLIR Lowering Pipeline for Stencils at Wafer-Scale,编译器、程序优化与形式化验证,"The Cerebras Wafer-Scale Engine (WSE) delivers performance at an unprecedented scale of over 900,000 compute units, all connected via a single-wafer on-chip interconnect.",https://doi.org/10.1145/3779212.3790124,asplos2026.volume2.3779212.pdf
Volume 2,375,10.1145/3779212.3790138,CHEHAB RL: Learning to Optimize Fully Homomorphic Encryption Computations,编译器、程序优化与形式化验证,"Fully Homomorphic Encryption (FHE) enables computations directly on encrypted data, but its high computational cost remains a significant barrier.",https://doi.org/10.1145/3779212.3790138,asplos2026.volume2.3779212.pdf
Volume 2,475,10.1145/3779212.3790144,Compass: Navigating the Design Space of Taint Schemes for RTL Security Verification,编译器、程序优化与形式化验证,Hardware information flow tracking (IFT) using taint analysis provides a methodology to check whether a hardware design satisfies certain security properties.,https://doi.org/10.1145/3779212.3790144,asplos2026.volume2.3779212.pdf
Volume 2,616,10.1145/3779212.3790152,Detecting Inconsistencies in ARM CCA’s Formally Verified Specification,编译器、程序优化与形式化验证,"Formal verification offers strong guarantees of correctness, robustness, and security.",https://doi.org/10.1145/3779212.3790152,asplos2026.volume2.3779212.pdf
Volume 2,730,10.1145/3779212.3790159,Evaluating Compiler Optimization Impacts on zkVM Performance,编译器、程序优化与形式化验证,Zero-knowledge proofs (ZKPs) are the cornerstone of programmable cryptography.,https://doi.org/10.1145/3779212.3790159,asplos2026.volume2.3779212.pdf
Volume 2,831,10.1145/3779212.3790165,FuseFlow: A Fusion-Centric Compilation Framework for Sparse Deep Learning on Streaming Dataflow,编译器、程序优化与形式化验证,"As deep learning models scale, sparse deep learning (DL) models that exploit sparsity in weights, activations, or inputs and specialized dataflow hardware have emerged as powerful solutions to address effici...",https://doi.org/10.1145/3779212.3790165,asplos2026.volume2.3779212.pdf
Volume 2,854,10.1145/3779212.3790166,Graphiti: Formally Verified Out-of-Order Execution in Dataflow Circuits,编译器、程序优化与形式化验证,High-level synthesis (HLS) tools automatically synthesise hardware from imperative programs and have seen a significant rise in adoption in both industry and academia.,https://doi.org/10.1145/3779212.3790166,asplos2026.volume2.3779212.pdf
Volume 2,945,10.1145/3779212.3790171,Highly Automated Verification of Security Properties for Unmodified System Software,编译器、程序优化与形式化验证,System software is often complex and hides exploitable security vulnerabilities.,https://doi.org/10.1145/3779212.3790171,asplos2026.volume2.3779212.pdf
Volume 2,1073,10.1145/3779212.3790179,JOSer: Just-In-Time Object Serialization for Heavy Java Serialization Workloads,编译器、程序优化与形式化验证,"Object serialization is critical in Java, which preserves objects in memory and transfers them among software systems if needed.",https://doi.org/10.1145/3779212.3790179,asplos2026.volume2.3779212.pdf
Volume 2,1169,10.1145/3779212.3790184,LPO: Discovering Missed Peephole Optimizations with Large Language Models,编译器、程序优化与形式化验证,"Peephole optimization is an essential class of compiler optimizations that targets small, inefficient instruction sequences within programs.",https://doi.org/10.1145/3779212.3790184,asplos2026.volume2.3779212.pdf
Volume 2,1349,10.1145/3779212.3790195,"Once4All: Skeleton-Guided SMT Solver Fuzzing with LLM-Synthesized Generators Maolin Sun State Key Laboratory for Novel Software Technology, Nanjing",编译器、程序优化与形式化验证,"Satisfiability Modulo Theory (SMT) solvers are foundational to modern systems and programming languages research, providing the foundation for tasks like symbolic execution and automated verification.",https://doi.org/10.1145/3779212.3790195,asplos2026.volume2.3779212.pdf
Volume 2,1366,10.1145/3779212.3790196,Optimizer-Friendly Instrumentation for Event Quantification with PRUE Algorithm,编译器、程序优化与形式化验证,"Event quantification provides frequency information for runtime events and is widely used to build fast, secure, and reliable software and systems.",https://doi.org/10.1145/3779212.3790196,asplos2026.volume2.3779212.pdf
Volume 2,1541,10.1145/3779212.3790207,Rage Against the State Machine: Type-Stated Hardware Peripherals for Increased Driver Correctness,编译器、程序优化与形式化验证,"Hardware provides driver authors both a strict specification of the operations a driver is allowed to do, and a highly permissive interface full of operations a driver can do.",https://doi.org/10.1145/3779212.3790207,asplos2026.volume2.3779212.pdf
Volume 2,1556,10.1145/3779212.3790208,Reconfigurable Quantum Instruction Set Computers for High Performance Attainable on Hardware,编译器、程序优化与形式化验证,"Despite remarkable milestones in quantum computing, the performance of current quantum hardware remains limited.",https://doi.org/10.1145/3779212.3790208,asplos2026.volume2.3779212.pdf
Volume 2,1599,10.1145/3779212.3790209,RedFuser: An Automatic Operator Fusion Framework for Cascaded Reductions on AI Accelerators,编译器、程序优化与形式化验证,"Operator fusion, as a key performance optimization technique in the deployment of AI models, significantly improves execution efficiency and has been widely adopted in modern AI compilers.",https://doi.org/10.1145/3779212.3790209,asplos2026.volume2.3779212.pdf
Volume 2,1693,10.1145/3779212.3790214,RTeAAL Sim: Using Tensor Algebra to Represent and Accelerate RTL Simulation,编译器、程序优化与形式化验证,RTL simulation on CPUs remains a persistent bottleneck in hardware design.,https://doi.org/10.1145/3779212.3790214,asplos2026.volume2.3779212.pdf
Volume 2,1710,10.1145/3779212.3790215,Scaling Automated Database System Testing,编译器、程序优化与形式化验证,"Recently, various automated testing approaches have been proposed that use specialized test oracles to find hundreds of logic bugs in mature, widely-used Database Management Systems (DBMSs).",https://doi.org/10.1145/3779212.3790215,asplos2026.volume2.3779212.pdf
Volume 2,1797,10.1145/3779212.3790220,Signal Breaker: Fuzzing Digital Signal Processors,编译器、程序优化与形式化验证,Fuzzing is one of the most effective techniques for discovering software vulnerabilities.,https://doi.org/10.1145/3779212.3790220,asplos2026.volume2.3779212.pdf
Volume 2,1813,10.1145/3779212.3790221,Skyler: Static Analysis for Predicting API-Driven Costs in Serverless Applications,编译器、程序优化与形式化验证,"Unpredictable costs are a growing concern in serverless computing, where applications rely on cloud APIs with complex tiered pricing models.",https://doi.org/10.1145/3779212.3790221,asplos2026.volume2.3779212.pdf
Volume 2,2192,10.1145/3779212.3790244,Understanding Query Optimization Bugs in Graph Database Systems,编译器、程序优化与形式化验证,Recent years have witnessed an ever-growing usage of graph database management systems (GDBMSs) in various datadriven applications.,https://doi.org/10.1145/3779212.3790244,asplos2026.volume2.3779212.pdf
Volume 1,50,10.1145/3760250.3762223,Cheddar: A Swift Fully Homomorphic Encryption Library Designed for GPU Architectures,量子计算与全同态加密,Fully homomorphic encryption (FHE) frees cloud computing from privacy concerns by enabling secure computation on encrypted data.,https://doi.org/10.1145/3760250.3762223,asplos2026.volume1.3760250.pdf
Volume 2,92,10.1145/3779212.3790122,Accelerating Computation in Quantum LDPC Code,量子计算与全同态加密,Fault-tolerant quantum computing (FTQC) uses quantum error correction (QEC) codes to execute large-scale quantum programs on noisy quantum computers.,https://doi.org/10.1145/3779212.3790122,asplos2026.volume2.3779212.pdf
Volume 2,110,10.1145/3779212.3790123,AlphaSyndrome: Tackling the Syndrome Measurement Circuit Scheduling Problem for QEC Codes,量子计算与全同态加密,"Quantum error correction (QEC) is essential for scalable quantum computing, yet repeated syndrome-measurement cycles dominate its spacetime and hardware cost.",https://doi.org/10.1145/3779212.3790123,asplos2026.volume2.3779212.pdf
Volume 2,208,10.1145/3779212.3790128,Architecting Scalable Trapped Ion Quantum Computers using Surface Codes,量子计算与全同态加密,Trapped ion (TI) qubits are a leading quantum computing platform.,https://doi.org/10.1145/3779212.3790128,asplos2026.volume2.3779212.pdf
Volume 2,307,10.1145/3779212.3790134,Borrowing Dirty Qubits in Quantum Programs,量子计算与全同态加密,"Dirty qubits are ancillary qubits that can be borrowed from idle parts of a computation, enabling qubit reuse and reducing the demand for fresh, clean qubits—a resource that is typically scarce in practice.",https://doi.org/10.1145/3779212.3790134,asplos2026.volume2.3779212.pdf
Volume 2,459,10.1145/3779212.3790143,COMPAS: A Distributed Multi-Party SW AP Test for Parallel Quantum Algorithms Brayden Goldstein-Gelb∗,量子计算与全同态加密,"The limited number of qubits per chip remains a critical bottleneck in quantum computing, motivating the use of distributed architectures that interconnect multiple quantum processing units (QPUs).",https://doi.org/10.1145/3779212.3790143,asplos2026.volume2.3779212.pdf
Volume 2,748,10.1145/3779212.3790160,Falcon: Algorithm-Hardware Co-Design for Efficient Fully Homomorphic Encryption Accelerator,量子计算与全同态加密,"Fully homomorphic encryption (FHE) enables computation on encrypted data without compromising privacy, positioning it as a promising solution for secure cloud computing.",https://doi.org/10.1145/3779212.3790160,asplos2026.volume2.3779212.pdf
Volume 2,1040,10.1145/3779212.3790177,iSwitch: QEC on Demand via In-Situ Encoding of Bare Qubits for Ion Trap Architectures,量子计算与全同态加密,Recent advances in quantum hardware and error correction have paved the way for early fault-tolerant (EFT) quantum computing.,https://doi.org/10.1145/3779212.3790177,asplos2026.volume2.3779212.pdf
Volume 2,1201,10.1145/3779212.3790186,Maverick: Rethinking TFHE Bootstrapping on GPUs via Algorithm-Hardware Co-Design,量子计算与全同态加密,Fully homomorphic encryption (FHE) enables arbitrary computation over encrypted data (ciphertext) without compromising confidentiality.,https://doi.org/10.1145/3779212.3790186,asplos2026.volume2.3779212.pdf
Volume 2,1509,10.1145/3779212.3790205,PropHunt: Automated Optimization of Quantum Syndrome Measurement Circuits,量子计算与全同态加密,Fault-Tolerant Quantum Computing (FTQC) relies on Quantum Error Correction (QEC) codes to reach error rates necessary for large scale quantum applications.,https://doi.org/10.1145/3779212.3790205,asplos2026.volume2.3779212.pdf
Volume 2,1622,10.1145/3779212.3790210,Reducing T Gates with Unitary Synthesis,量子计算与全同态加密,Quantum error correction is essential for achieving practical quantum computing but has a significant computational overhead.,https://doi.org/10.1145/3779212.3790210,asplos2026.volume2.3779212.pdf
Volume 2,1638,10.1145/3779212.3790211,ReliaFHE: Resilient Design for Fully Homomorphic Encryption Accelerators,量子计算与全同态加密,The significant computational complexity of Fully Homomorphic Encryption (FHE) has prompted numerous accelerator designs.,https://doi.org/10.1145/3779212.3790211,asplos2026.volume2.3779212.pdf
Volume 2,2096,10.1145/3779212.3790239,TreeVQA: A Tree-Structured Execution Framework for Shot Reduction in Variational Quantum Algorithms,量子计算与全同态加密,"Variational Quantum Algorithms (VQAs) are promising for near- and intermediate-term quantum computing, but their execution cost is substantial.",https://doi.org/10.1145/3779212.3790239,asplos2026.volume2.3779212.pdf
